DesignName,ParticipantID,TrialID,Block1,Block2,D,F,Z
MoMote,6,311,1,11,MoMote,Top,Normal
MoMote,6,312,1,12,MoMote,Bottom,Close
MoMote,6,313,1,13,MoMote,Back,Far
MoMote,6,314,1,14,MoMote,Back,Close
MoMote,6,315,1,15,MoMote,Top,Close
MoMote,6,316,1,16,MoMote,Bottom,Normal
MoMote,6,317,1,17,MoMote,Right,Close
MoMote,6,318,1,18,MoMote,Back,Far
MoMote,6,319,1,19,MoMote,Top,Close
MoMote,6,320,1,20,MoMote,Right,Normal
MoMote,6,321,1,21,MoMote,Bottom,Close
MoMote,6,322,1,22,MoMote,Left,Normal
MoMote,6,323,1,23,MoMote,Bottom,Far
MoMote,6,324,1,24,MoMote,Back,Close
MoMote,6,325,1,25,MoMote,Top,Normal
MoMote,6,326,1,26,MoMote,Left,Far
MoMote,6,327,1,27,MoMote,Top,Far
MoMote,6,328,1,28,MoMote,Left,Close
MoMote,6,329,1,29,MoMote,Right,Far
MoMote,6,330,1,30,MoMote,Back,Normal
MoMote,6,331,2,1,Phone,Bottom,Far
MoMote,6,332,2,2,Phone,Back,Normal
MoMote,6,333,2,3,Phone,Left,Far
MoMote,6,334,2,4,Phone,Right,Normal
MoMote,6,335,2,5,Phone,Top,Far
MoMote,6,336,2,6,Phone,Left,Normal
MoMote,6,337,2,7,Phone,Bottom,Normal
MoMote,6,338,2,8,Phone,Right,Far
MoMote,6,339,2,9,Phone,Right,Close
MoMote,6,340,2,10,Phone,Left,Close
MoMote,6,341,2,11,Phone,Top,Normal
MoMote,6,342,2,12,Phone,Bottom,Close
MoMote,6,343,2,13,Phone,Back,Far
MoMote,6,344,2,14,Phone,Back,Close
MoMote,6,345,2,15,Phone,Top,Close
MoMote,6,346,2,16,Phone,Bottom,Normal
MoMote,6,347,2,17,Phone,Right,Close
MoMote,6,348,2,18,Phone,Back,Far
MoMote,6,349,2,19,Phone,Top,Close
MoMote,6,350,2,20,Phone,Right,Normal
MoMote,6,351,2,21,Phone,Bottom,Close
MoMote,6,352,2,22,Phone,Left,Normal
MoMote,6,353,2,23,Phone,Bottom,Far
MoMote,6,354,2,24,Phone,Back,Close
MoMote,6,355,2,25,Phone,Top,Normal
MoMote,6,356,2,26,Phone,Left,Far
MoMote,6,357,2,27,Phone,Top,Far
MoMote,6,358,2,28,Phone,Left,Close
MoMote,6,359,2,29,Phone,Right,Far
MoMote,6,360,2,30,Phone,Back,Normal
MoMote,7,361,1,1,Phone,Back,Close
MoMote,7,362,1,2,Phone,Back,Far
MoMote,7,363,1,3,Phone,Right,Close
MoMote,7,364,1,4,Phone,Right,Far
MoMote,7,365,1,5,Phone,Bottom,Close
MoMote,7,366,1,6,Phone,Left,Far
MoMote,7,367,1,7,Phone,Bottom,Far
MoMote,7,368,1,8,Phone,Top,Close
MoMote,7,369,1,9,Phone,Right,Normal
MoMote,7,370,1,10,Phone,Left,Normal
MoMote,7,371,1,11,Phone,Top,Far
MoMote,7,372,1,12,Phone,Bottom,Normal
MoMote,7,373,1,13,Phone,Left,Close
MoMote,7,374,1,14,Phone,Back,Normal
MoMote,7,375,1,15,Phone,Top,Normal
MoMote,7,376,1,16,Phone,Bottom,Far
MoMote,7,377,1,17,Phone,Right,Normal
MoMote,7,378,1,18,Phone,Left,Close
MoMote,7,379,1,19,Phone,Top,Normal
MoMote,7,380,1,20,Phone,Right,Far
MoMote,7,381,1,21,Phone,Bottom,Normal
MoMote,7,382,1,22,Phone,Left,Far
MoMote,7,383,1,23,Phone,Back,Close
MoMote,7,384,1,24,Phone,Back,Normal
MoMote,7,385,1,25,Phone,Top,Far
MoMote,7,386,1,26,Phone,Right,Close
MoMote,7,387,1,27,Phone,Bottom,Close
MoMote,7,388,1,28,Phone,Left,Normal
MoMote,7,389,1,29,Phone,Top,Close
MoMote,7,390,1,30,Phone,Back,Far
MoMote,7,391,2,1,MoMote,Back,Close
MoMote,7,392,2,2,MoMote,Back,Far
MoMote,7,393,2,3,MoMote,Right,Close
MoMote,7,394,2,4,MoMote,Right,Far
MoMote,7,395,2,5,MoMote,Bottom,Close
MoMote,7,396,2,6,MoMote,Left,Far
MoMote,7,397,2,7,MoMote,Bottom,Far
MoMote,7,398,2,8,MoMote,Top,Close
MoMote,7,399,2,9,MoMote,Right,Normal
MoMote,7,400,2,10,MoMote,Left,Normal
MoMote,7,401,2,11,MoMote,Top,Far
MoMote,7,402,2,12,MoMote,Bottom,Normal
MoMote,7,403,2,13,MoMote,Left,Close
MoMote,7,404,2,14,MoMote,Back,Normal
MoMote,7,405,2,15,MoMote,Top,Normal
MoMote,7,406,2,16,MoMote,Bottom,Far
MoMote,7,407,2,17,MoMote,Right,Normal
MoMote,7,408,2,18,MoMote,Left,Close
MoMote,7,409,2,19,MoMote,Top,Normal
MoMote,7,410,2,20,MoMote,Right,Far
MoMote,7,411,2,21,MoMote,Bottom,Normal
MoMote,7,412,2,22,MoMote,Left,Far
MoMote,7,413,2,23,MoMote,Back,Close
MoMote,7,414,2,24,MoMote,Back,Normal
MoMote,7,415,2,25,MoMote,Top,Far
MoMote,7,416,2,26,MoMote,Right,Close
MoMote,7,417,2,27,MoMote,Bottom,Close
MoMote,7,418,2,28,MoMote,Left,Normal
MoMote,7,419,2,29,MoMote,Top,Close
MoMote,7,420,2,30,MoMote,Back,Far
MoMote,8,421,1,1,MoMote,Back,Normal
MoMote,8,422,1,2,MoMote,Left,Close
MoMote,8,423,1,3,MoMote,Right,Normal
MoMote,8,424,1,4,MoMote,Top,Close
MoMote,8,425,1,5,MoMote,Bottom,Normal
MoMote,8,426,1,6,MoMote,Right,Close
MoMote,8,427,1,7,MoMote,Back,Close
MoMote,8,428,1,8,MoMote,Top,Normal
MoMote,8,429,1,9,MoMote,Right,Far
MoMote,8,430,1,10,MoMote,Left,Far
MoMote,8,431,1,11,MoMote,Bottom,Close
MoMote,8,432,1,12,MoMote,Bottom,Far
MoMote,8,433,1,13,MoMote,Left,Normal
MoMote,8,434,1,14,MoMote,Back,Far
MoMote,8,435,1,15,MoMote,Top,Far
MoMote,8,436,1,16,MoMote,Back,Close
MoMote,8,437,1,17,MoMote,Right,Far
MoMote,8,438,1,18,MoMote,Left,Normal
MoMote,8,439,1,19,MoMote,Top,Far
MoMote,8,440,1,20,MoMote,Top,Close
MoMote,8,441,1,21,MoMote,Bottom,Far
MoMote,8,442,1,22,MoMote,Right,Close
MoMote,8,443,1,23,MoMote,Back,Normal
MoMote,8,444,1,24,MoMote,Back,Far
MoMote,8,445,1,25,MoMote,Bottom,Close
MoMote,8,446,1,26,MoMote,Right,Normal
MoMote,8,447,1,27,MoMote,Bottom,Normal
MoMote,8,448,1,28,MoMote,Left,Far
MoMote,8,449,1,29,MoMote,Top,Normal
MoMote,8,450,1,30,MoMote,Left,Close
MoMote,8,451,2,1,Phone,Back,Normal
MoMote,8,452,2,2,Phone,Left,Close
MoMote,8,453,2,3,Phone,Right,Normal
MoMote,8,454,2,4,Phone,Top,Close
MoMote,8,455,2,5,Phone,Bottom,Normal
MoMote,8,456,2,6,Phone,Right,Close
MoMote,8,457,2,7,Phone,Back,Close
MoMote,8,458,2,8,Phone,Top,Normal
MoMote,8,459,2,9,Phone,Right,Far
MoMote,8,460,2,10,Phone,Left,Far
MoMote,8,461,2,11,Phone,Bottom,Close
MoMote,8,462,2,12,Phone,Bottom,Far
MoMote,8,463,2,13,Phone,Left,Normal
MoMote,8,464,2,14,Phone,Back,Far
MoMote,8,465,2,15,Phone,Top,Far
MoMote,8,466,2,16,Phone,Back,Close
MoMote,8,467,2,17,Phone,Right,Far
MoMote,8,468,2,18,Phone,Left,Normal
MoMote,8,469,2,19,Phone,Top,Far
MoMote,8,470,2,20,Phone,Top,Close
MoMote,8,471,2,21,Phone,Bottom,Far
MoMote,8,472,2,22,Phone,Right,Close
MoMote,8,473,2,23,Phone,Back,Normal
MoMote,8,474,2,24,Phone,Back,Far
MoMote,8,475,2,25,Phone,Bottom,Close
MoMote,8,476,2,26,Phone,Right,Normal
MoMote,8,477,2,27,Phone,Bottom,Normal
MoMote,8,478,2,28,Phone,Left,Far
MoMote,8,479,2,29,Phone,Top,Normal
MoMote,8,480,2,30,Phone,Left,Close
MoMote,9,481,1,1,Phone,Back,Far
MoMote,9,482,1,2,Phone,Left,Normal
MoMote,9,483,1,3,Phone,Right,Far
MoMote,9,484,1,4,Phone,Top,Normal
MoMote,9,485,1,5,Phone,Bottom,Far
MoMote,9,486,1,6,Phone,Right,Normal
MoMote,9,487,1,7,Phone,Back,Normal
MoMote,9,488,1,8,Phone,Top,Far
MoMote,9,489,1,9,Phone,Top,Close
MoMote,9,490,1,10,Phone,Right,Close
MoMote,9,491,1,11,Phone,Bottom,Normal
MoMote,9,492,1,12,Phone,Back,Close
MoMote,9,493,1,13,Phone,Left,Far
MoMote,9,494,1,14,Phone,Left,Close
MoMote,9,495,1,15,Phone,Bottom,Close
MoMote,9,496,1,16,Phone,Back,Normal
MoMote,9,497,1,17,Phone,Top,Close
MoMote,9,498,1,18,Phone,Left,Far
MoMote,9,499,1,19,Phone,Bottom,Close
MoMote,9,500,1,20,Phone,Top,Normal
MoMote,9,501,1,21,Phone,Back,Close
MoMote,9,502,1,22,Phone,Right,Normal
MoMote,9,503,1,23,Phone,Back,Far
MoMote,9,504,1,24,Phone,Left,Close
MoMote,9,505,1,25,Phone,Bottom,Normal
MoMote,9,506,1,26,Phone,Right,Far
MoMote,9,507,1,27,Phone,Bottom,Far
MoMote,9,508,1,28,Phone,Right,Close
MoMote,9,509,1,29,Phone,Top,Far
MoMote,9,510,1,30,Phone,Left,Normal
MoMote,9,511,2,1,MoMote,Back,Far
MoMote,9,512,2,2,MoMote,Left,Normal
MoMote,9,513,2,3,MoMote,Right,Far
MoMote,9,514,2,4,MoMote,Top,Normal
MoMote,9,515,2,5,MoMote,Bottom,Far
MoMote,9,516,2,6,MoMote,Right,Normal
MoMote,9,517,2,7,MoMote,Back,Normal
MoMote,9,518,2,8,MoMote,Top,Far
MoMote,9,519,2,9,MoMote,Top,Close
MoMote,9,520,2,10,MoMote,Right,Close
MoMote,9,521,2,11,MoMote,Bottom,Normal
MoMote,9,522,2,12,MoMote,Back,Close
MoMote,9,523,2,13,MoMote,Left,Far
MoMote,9,524,2,14,MoMote,Left,Close
MoMote,9,525,2,15,MoMote,Bottom,Close
MoMote,9,526,2,16,MoMote,Back,Normal
MoMote,9,527,2,17,MoMote,Top,Close
MoMote,9,528,2,18,MoMote,Left,Far
MoMote,9,529,2,19,MoMote,Bottom,Close
MoMote,9,530,2,20,MoMote,Top,Normal
MoMote,9,531,2,21,MoMote,Back,Close
MoMote,9,532,2,22,MoMote,Right,Normal
MoMote,9,533,2,23,MoMote,Back,Far
MoMote,9,534,2,24,MoMote,Left,Close
MoMote,9,535,2,25,MoMote,Bottom,Normal
MoMote,9,536,2,26,MoMote,Right,Far
MoMote,9,537,2,27,MoMote,Bottom,Far
MoMote,9,538,2,28,MoMote,Right,Close
MoMote,9,539,2,29,MoMote,Top,Far
MoMote,9,540,2,30,MoMote,Left,Normal
MoMote,10,541,1,1,MoMote,Left,Close
MoMote,10,542,1,2,MoMote,Left,Far
MoMote,10,543,1,3,MoMote,Top,Close
MoMote,10,544,1,4,MoMote,Top,Far
MoMote,10,545,1,5,MoMote,Back,Close
MoMote,10,546,1,6,MoMote,Right,Far
MoMote,10,547,1,7,MoMote,Back,Far
MoMote,10,548,1,8,MoMote,Bottom,Close
MoMote,10,549,1,9,MoMote,Top,Normal
MoMote,10,550,1,10,MoMote,Right,Normal
MoMote,10,551,1,11,MoMote,Bottom,Far
MoMote,10,552,1,12,MoMote,Back,Normal
MoMote,10,553,1,13,MoMote,Right,Close
MoMote,10,554,1,14,MoMote,Left,Normal
MoMote,10,555,1,15,MoMote,Bottom,Normal
MoMote,10,556,1,16,MoMote,Back,Far
MoMote,10,557,1,17,MoMote,Top,Normal
MoMote,10,558,1,18,MoMote,Right,Close
MoMote,10,559,1,19,MoMote,Bottom,Normal
MoMote,10,560,1,20,MoMote,Top,Far
MoMote,10,561,1,21,MoMote,Back,Normal
MoMote,10,562,1,22,MoMote,Right,Far
MoMote,10,563,1,23,MoMote,Left,Close
MoMote,10,564,1,24,MoMote,Left,Normal
MoMote,10,565,1,25,MoMote,Bottom,Far
MoMote,10,566,1,26,MoMote,Top,Close
MoMote,10,567,1,27,MoMote,Back,Close
MoMote,10,568,1,28,MoMote,Right,Normal
MoMote,10,569,1,29,MoMote,Bottom,Close
MoMote,10,570,1,30,MoMote,Left,Far
MoMote,10,571,2,1,Phone,Left,Close
