DesignName,ParticipantID,TrialID,Block1,Block2,D,F,Z,Time,SearchTime,MenuTime,ErrorCount
Momote,4,185,1,5,MoMote,Top,Close,3832.978,2522,1310.892,0
Momote,4,186,1,6,MoMote,Back,Far,10995.59,9784,1210.808,0
Momote,4,187,1,7,MoMote,Top,Far,11902.667,10793,1109.657,0
Momote,4,188,1,8,MoMote,Right,Close,3328.91,2421,907.814,0
Momote,4,189,1,9,MoMote,Left,Normal,6455.095,5245,1209.989,0
Momote,4,190,1,10,MoMote,Back,Normal,4741.322,3934,806.77,0
Momote,4,191,1,11,MoMote,Right,Far,8473.296,7666,806.864,0
Momote,4,192,1,12,MoMote,Top,Normal,3833.481,2723,1110.285,0
Momote,4,193,1,13,MoMote,Back,Close,4437.946,3530,907.55,0
Momote,4,194,1,14,MoMote,Bottom,Normal,3126.17,2017,1108.516,0
Momote,4,195,1,15,MoMote,Right,Normal,3329.371,1312,2016.946,0
Momote,4,196,1,16,MoMote,Top,Far,7565.565,6557,1008.53,0
Momote,4,197,1,17,MoMote,Left,Normal,6455.722,5244,1211.164,0
Momote,4,198,1,18,MoMote,Back,Close,5345.965,4033,1312.11,0
Momote,4,199,1,19,MoMote,Right,Normal,2722.752,1814,907.841,0
Momote,4,200,1,20,MoMote,Left,Far,11601.79,10289,1312.119,0
Momote,4,201,1,21,MoMote,Top,Normal,4034.95,3127,907.845,0
Momote,4,202,1,22,MoMote,Back,Far,9381.45,8473,907.943,0
Momote,4,203,1,23,MoMote,Bottom,Close,5748.996,4639,1109.022,0
Momote,4,204,1,24,MoMote,Bottom,Normal,5547.736,4639,907.799,0
Momote,4,205,1,25,MoMote,Right,Far,10893.918,9885,1008.891,0
Momote,4,206,1,26,MoMote,Left,Close,3832.501,2924,907.732,0
Momote,4,207,1,27,MoMote,Top,Close,3429.934,2218,1210.973,0
Momote,4,208,1,28,MoMote,Back,Normal,5750.713,4439,1311.682,0
Momote,4,209,1,29,MoMote,Right,Close,4033.583,2924,1108.628,0
Momote,4,210,1,30,MoMote,Bottom,Far,8776.989,7768,1008.544,0
Momote,4,211,2,1,Phone,Bottom,Close,4659.895,3894.544,765.351,0
Momote,4,212,2,2,Phone,Bottom,Far,9198.429,8296.969,901.46,0
Momote,4,213,2,3,Phone,Left,Close,5317.197,4518.856,798.341,0
Momote,4,214,2,4,Phone,Left,Far,7900.342,6966.166,934.176,0
Momote,4,215,2,5,Phone,Top,Close,3331.525,2497.541,833.984,0
Momote,4,216,2,6,Phone,Back,Far,4162.555,3361.942,800.613,0
Momote,4,217,2,7,Phone,Top,Far,2864.392,2097.417,766.975,0
Momote,4,218,2,8,Phone,Right,Close,2862.46,2165.148,697.312,0
Momote,4,219,2,9,Phone,Left,Normal,3901.692,2933.419,968.273,0
Momote,4,220,2,10,Phone,Back,Normal,3630.317,2898.279,732.038,0
Momote,4,221,2,11,Phone,Right,Far,6465.789,5663.154,802.635,0
Momote,4,222,2,12,Phone,Top,Normal,2364.256,1799.814,564.442,0
Momote,4,223,2,13,Phone,Back,Close,4481.69,3680.421,801.269,0
Momote,4,224,2,14,Phone,Bottom,Normal,4633.087,3865.858,767.229,0
Momote,4,225,2,15,Phone,Right,Normal,2997.509,2296.759,700.75,0
Momote,4,226,2,16,Phone,Top,Far,3931.631,3263.04,668.591,0
Momote,4,227,2,17,Phone,Left,Normal,4864.395,4134.77,729.625,0
Momote,4,228,2,18,Phone,Back,Close,3701.535,3032.081,669.454,0
Momote,4,229,2,19,Phone,Right,Normal,3597.153,2896.099,701.054,0
Momote,4,230,2,20,Phone,Left,Far,2464.129,1864.896,599.233,0
Momote,4,231,2,21,Phone,Top,Normal,2200.414,1533.342,667.072,0
Momote,4,232,2,22,Phone,Back,Far,4599.622,3533.342,1066.28,0
Momote,4,233,2,23,Phone,Bottom,Close,4632.779,3899.046,733.733,0
Momote,4,234,2,24,Phone,Bottom,Normal,4230.647,3464.575,766.072,0
Momote,4,235,2,25,Phone,Right,Far,6230.75,5434.059,796.691,0
Momote,4,236,2,26,Phone,Left,Close,6994.017,5229.895,1764.122,0
Momote,4,237,2,27,Phone,Top,Close,3368.231,2501.919,866.312,0
Momote,4,238,2,28,Phone,Back,Normal,4265.558,2998.384,1267.174,0
Momote,4,239,2,29,Phone,Right,Close,2528.774,1930.857,597.917,0
Momote,4,240,2,30,Phone,Bottom,Far,6666.897,5836.014,830.883,0
Momote,5,241,1,1,Phone,Bottom,Normal,3278.355,2410.417,867.938,0
Momote,5,242,1,2,Phone,Back,Close,5348.74,4481.362,867.378,0
Momote,5,243,1,3,Phone,Left,Normal,3198.567,2464.298,734.269,0
Momote,5,244,1,4,Phone,Right,Close,6064.086,5297.063,767.023,0
Momote,5,245,1,5,Phone,Top,Normal,4562.865,3929.848,633.017,0
Momote,5,246,1,6,Phone,Left,Close,3264.391,2665.354,599.037,0
Momote,5,247,1,7,Phone,Bottom,Close,3199.044,2267.483,931.561,0
Momote,5,248,1,8,Phone,Right,Normal,5629.846,4700.378,929.468,0
Momote,5,249,1,9,Phone,Left,Far,10001.3,9368.679,632.621,0
Momote,5,250,1,10,Phone,Back,Far,9098.273,8496.631,601.642,0
Momote,5,251,1,11,Phone,Top,Close,5863.335,4998.091,865.244,0
Momote,5,252,1,12,Phone,Top,Far,9832.292,9233.567,598.725,0
Momote,5,253,1,13,Phone,Back,Normal,3932.24,3065.716,866.524,0
Momote,5,254,1,14,Phone,Bottom,Far,9233.431,8266.927,966.504,0
Momote,5,255,1,15,Phone,Right,Far,9299.326,8732.947,566.379,0
Momote,5,256,1,16,Phone,Bottom,Close,2810.125,2280.051,530.074,0
Momote,5,257,1,17,Phone,Left,Far,11369.653,10635.654,733.999,0
Momote,5,258,1,18,Phone,Back,Normal,6665.557,5966.541,699.016,0
Momote,5,259,1,19,Phone,Right,Far,10596.95,9865.131,731.819,0
Momote,5,260,1,20,Phone,Right,Close,6598.883,5799.544,799.339,0
Momote,5,261,1,21,Phone,Top,Far,9232.229,8530.655,701.574,0
Momote,5,262,1,22,Phone,Left,Close,2999.138,2466.084,533.054,0
Momote,5,263,1,23,Phone,Bottom,Normal,3028.891,2266.755,762.136,0
Momote,5,264,1,24,Phone,Bottom,Far,7536.106,6798.795,737.311,0
Momote,5,265,1,25,Phone,Top,Close,3529.28,2929.061,600.219,0
Momote,5,266,1,26,Phone,Left,Normal,2796.716,2265.439,531.277,0
Momote,5,267,1,27,Phone,Top,Normal,3067.031,2433.983,633.048,0
Momote,5,268,1,28,Phone,Back,Far,8932.391,8231.669,700.722,0
Momote,5,269,1,29,Phone,Right,Normal,3133.495,2564.473,569.022,0
Momote,5,270,1,30,Phone,Back,Close,10930.322,10232.072,698.25,0
Momote,5,271,2,1,MoMote,Bottom,Normal,3832.673,2421.077,1411.596,0
Momote,5,272,2,2,MoMote,Back,Close,11802.069,9078.142,2723.927,0
Momote,5,273,2,3,MoMote,Left,Normal,6455.801,4639.599,1816.202,0
Momote,5,274,2,4,MoMote,Right,Close,6656.908,4739.508,1917.4,0
Momote,5,275,2,5,MoMote,Top,Normal,5849.527,4235.23,1614.297,0
Momote,5,276,2,6,MoMote,Left,Close,15836.882,14020.794,1816.088,0
